MEd,beff,bw,h,hf,fi,fck,fi_str,cnom,rods_layer1,rods_layer2,rods_compression
838.6341067375766,1050.7307841312308,613.8830892456785,975.8085421794981,627.067793285302,22,30,16,51.033241901375106,6,0,0
5491.766695104448,1955.9268982996878,1933.1652041337716,1360.3088281538858,1264.5469716524199,28,25,20,29.642717322710425,17,0,0
6397.979767575391,1672.3819163916826,1366.731883445744,1458.7085901157968,606.5119917605488,28,50,8,26.34767763326674,18,0,0
533.7231449890193,1905.6996253464915,1493.9317016846464,899.1521714438144,833.7035091665261,32,40,20,22.616078697303106,2,0,0
9174.567292386237,1785.4149258477491,1515.5374656949527,1470.7968274729647,100.35944032509245,20,45,16,50.50471966700636,35,16,0
3933.918182491562,1123.3582898225977,1094.8850256740734,1301.87176336447,671.757379610547,14,20,20,24.671475589600455,31,21,0
739.073429773248,311.16291551599926,129.27542591479354,1441.8083420933956,425.3263563458066,32,16,10,28.658201457336148,1,1,0
4138.8371486048045,1501.398183433993,1433.2072730267353,1289.7528050040116,164.7236100135973,25,25,16,28.705331703222726,17,0,0
1329.6350152592493,806.6913587462936,603.7087033983335,1167.6097734366344,243.09726741859524,32,30,14,44.09692316988607,4,0,0
520.6326523717421,913.7006229594044,679.70055221093,1156.6139518744353,520.5473410722816,10,16,8,42.27522432290759,15,0,0
3200.8836801782927,1403.3022800692265,867.9558450303575,1290.0719504490924,244.77008047513868,22,16,18,41.31832587871621,18,0,0
592.4815246125588,1809.004324759336,1244.4085001167437,1124.8487746320861,659.6331160961811,32,35,12,51.92931620148002,2,0,0
387.2332150439077,1743.4323451978787,290.05112223883,1011.3612686895369,745.3118916963499,18,40,14,39.13687107542264,4,0,0
165.58397525723063,1517.466879593597,688.8311516382892,1448.8624791602128,822.8688516791676,28,40,8,28.44597201086685,1,0,0
1653.9340350964621,1137.8215511920441,729.2511904965353,1227.6042856757829,397.25735432268027,25,20,12,51.439480922964464,8,0,0
1379.951002521139,1261.33882969331,424.8446952790688,807.0592887117688,585.1699492206749,25,50,10,38.220503384642996,7,2,0
699.7338856514291,1455.8209304688492,1032.876026654781,1461.0450404411918,631.5190767747085,8,16,12,49.21653950561561,24,0,0
111.47552559436095,1571.9354742635792,1519.6188380734382,1403.972910853637,1011.2491646908982,12,30,12,44.181262137431276,2,0,0
5556.571760694851,1307.058447102748,957.0333441950003,1371.9307486757784,789.2983572014149,28,20,16,55.25983485794193,15,3,0
7234.0694404488795,1857.5087008637297,1586.2241972682716,1186.4615074998126,896.853468981938,25,16,20,43.440203560985196,30,7,0
3301.051752054018,1922.051109783899,920.0408204578126,1116.6412485826615,403.6294089669332,32,50,18,56.937582760932656,10,0,0
4343.176529350653,1139.8741595990045,607.7353917386038,1443.4960821320735,825.5037492080763,18,50,10,28.31861524818567,15,14,0
628.9689844382359,1377.169986879226,579.6537734312358,998.6179224097336,555.7280615661016,28,16,12,54.521901399870046,3,0,0
4171.876486504053,1610.571969415577,1311.5128116311057,864.8081665762418,704.5475808391478,20,40,20,55.73569466525455,30,13,0
783.6997493839377,1467.5950565706898,1151.4306793720702,862.4322385362332,676.0728946019232,14,50,16,56.4866509517925,16,0,0
4829.2126705003275,1700.7572989147789,944.2709555417356,1332.1420565877572,997.3960632694416,20,20,14,40.299872054260106,22,8,0
154.94126464194494,1622.060717381344,717.6346322335692,748.3149383279934,154.48297769062302,18,30,16,27.85439015426704,3,0,0
5520.7351386492,1476.9819105822744,810.1820278282277,1275.0714757401356,1013.530923593456,25,16,20,36.75682109846557,15,10,0
2659.706681306133,1897.4020158216863,871.269341772197,1194.1948361788243,178.2276815997434,32,40,8,29.136399465332662,7,0,0
1835.6729384683563,1110.0623343553293,983.0189879874105,1196.505980891885,421.1916718254532,32,45,8,53.998726486140235,5,0,0
586.7273320840583,1869.0160442292677,904.0129997072178,1068.2813542807012,418.4907041329829,32,20,14,28.98301072166621,2,0,0
3981.1958187289483,1688.283028686281,1214.1374871483904,1021.8677435831911,694.9651034480806,20,45,16,47.4341591798736,28,5,0
108.8788725650316,1755.6642501677293,791.309582636273,734.6851553162777,688.8175260883582,8,45,18,27.56909360310079,8,0,0
1192.113429025263,1325.3695074213997,1119.278758166095,1149.290662912343,588.4180753481041,22,25,18,34.92706056496032,7,0,0
1070.4336634549766,1821.4596745857953,1159.4391211867928,733.4133077629908,653.1824456516329,20,45,8,57.93834061818518,13,0,0
2448.4386070944,1926.8242779658099,720.0005326979802,1462.245434394161,1205.741294752424,32,40,10,32.63856941462936,6,0,0
760.1363545461828,570.0808417042348,282.72742195225976,1387.2812814789656,351.3954752159623,25,25,18,55.908953226705826,3,0,0
3105.3193467247524,1362.9525240587382,706.9883040392211,1360.7718329668635,827.3172694423645,16,16,10,56.7932773795337,17,13,0
3883.437289666866,1992.0669131228117,668.8715858988445,1395.4841593484812,1379.1086296419408,32,45,14,39.71059553125234,9,0,0
1336.3845648329911,1910.0064194622632,939.0767920619396,1088.038753923996,578.4141455098109,12,50,12,40.76406644822755,27,0,0
639.115736809778,724.0949824201256,288.17712873726293,1341.5566029877334,880.1718914959989,16,16,10,39.08821350961276,6,0,0
7950.730745311213,1673.5905837431867,1182.4546202216059,1390.316475909557,665.2385736490596,28,40,20,47.06201217824544,19,5,0
1230.5231085393905,1658.5480152712782,387.6846516746231,1331.7285943021582,610.9494805860754,28,30,18,49.3394788754473,4,0,0
2376.799658164543,1345.495201107465,1034.3153349097097,870.0133782443437,108.96318191252445,25,50,14,42.83507459791966,15,0,0
413.85510875820876,1588.1417404480167,424.47013252125913,906.5056704290704,810.2692723522249,12,45,8,20.03157033428238,10,0,0
3233.1831748043023,1448.8593527307391,666.6771468183675,1455.8245339042448,201.9481358135297,25,30,12,28.82766355727757,12,0,0
1443.4249139061087,1584.6434957063086,726.7856085030807,667.2646174816846,161.31363615706965,20,50,14,27.573156138138614,17,1,0
2856.7272645606654,654.1438355610263,380.1279325413584,1446.6073246869782,1084.73883545941,32,16,16,53.30529886437498,4,3,0
4789.621257460686,1543.630097609204,1456.9822673872952,1101.0305288567274,1071.796329576036,22,40,18,24.95568270123105,30,0,0
3372.772936181957,1950.8217654100572,718.4690124942874,1239.5500626714238,686.6855230292431,32,30,12,23.701174405372875,9,0,0
1316.3753857215072,1922.8309616959386,1490.407237161829,1091.6583480154682,110.66570278158076,14,35,18,35.70610632955439,20,0,0
1872.7850530165906,416.3513625344443,384.60107977704297,1498.0085470647193,1327.704857905064,18,25,20,44.09328497831161,8,5,0
3960.833980779005,1715.5345860286186,712.0206710090648,1462.286654297864,603.1097234187422,25,20,10,36.713072526886684,13,1,0
3137.907843157602,1531.5442883204257,1271.6806395567307,973.4963868833988,139.4387254119568,32,20,10,41.690070346071195,11,0,0
39.487543646725,1441.1908988329535,1415.4886366328394,1146.2952291726028,959.2204319554909,16,35,16,25.253755803798,1,0,0
5340.42153779746,1441.6013000028784,1232.5391103015634,1172.0857593642268,367.4724475468476,20,30,16,55.77504121147201,28,11,0
402.78535094767454,1041.7139726617365,413.90307910117366,1357.284108181679,1065.8983192136272,12,16,18,58.22427666492628,7,0,0
2361.3006208708384,1394.4150991386355,737.5441183812766,710.4429474952208,112.42039447463345,20,25,18,42.34515423169734,16,16,0
632.6207243892343,1235.1575551346994,1086.7171534966828,1273.4197936509354,365.73969747787334,16,25,12,42.14868891697532,7,0,0
6413.74956463638,1278.7057518587535,1083.3788214810997,1262.1349293948613,399.64659951957015,20,45,12,28.986149788182907,26,16,0
2328.3799153767895,1495.2078580261393,1094.7023166177469,1093.247379587583,249.76967556345875,20,30,12,23.41023855300602,17,0,0
3555.098488455806,1927.4131154869115,1561.0319388899723,1354.5600015259104,658.6436868066818,12,35,18,52.92083385212295,46,12,0
565.8707493592597,1595.2547868764625,306.3236100730798,1401.7572470683647,107.88054212332203,28,30,12,34.69651341917127,2,0,0
6233.000774430895,1182.3593222532818,1048.175478671354,1347.0652998624512,398.93324506910113,28,40,16,38.175236043441636,17,3,0
3407.4535067701368,1499.9048940887483,792.3275081193261,800.5370779203735,535.0453006741225,25,20,14,47.961934496845345,14,13,0
2993.7840007983277,1867.7587413478284,1168.7772635083359,943.4587767846423,246.82447223617018,32,35,20,41.991666130742274,11,0,0
285.93698582134607,622.7129589193227,179.3266481574828,1023.0820149039616,841.8632452356485,14,16,14,40.4551065616844,3,2,0
5803.206386317287,1403.3090951236688,1176.3093873711587,1372.3684126018752,1243.5880786743583,20,25,18,40.19197875374901,27,9,0
1900.36712105525,1664.5087385072402,1352.3810610517962,1283.503418746732,553.0261290169708,14,35,12,35.7474193248447,24,0,0
4289.388021494803,566.4018293754214,509.7286075473555,1494.1340880241744,1309.445683045956,25,30,14,37.39529920328478,9,7,0
5254.312396656409,1261.580620363122,752.038497905646,1494.4415798701098,1417.7875608756601,18,40,12,20.844014776449864,19,15,0
2266.439656137494,1329.4823572156463,672.2403167728392,1422.4307014815085,607.3137808140182,18,35,18,45.38702089369201,15,1,0
3035.323553138834,1066.240828282465,954.3278207193391,1052.7679813505629,405.96588820831875,32,50,12,29.70530483176587,10,0,0
5913.2785366586695,1368.129080570795,1334.629341638514,1329.4882554559474,1166.8671830259848,18,20,12,37.90927891835006,33,14,0
626.7080714738297,1168.3894193199149,656.4829719526529,1330.2048164473938,1242.5103046335,28,35,18,32.37529102702018,2,0,0
2323.601298770718,1303.929493905558,992.4790200938444,1402.8755103853157,113.1793798105752,20,35,8,57.87011818798486,14,0,0
9825.73369250804,1955.539021505895,1804.6911193514686,1369.05587138272,190.6453353459127,25,16,14,47.49571198738187,34,9,0
2270.3485175362393,1845.752775372881,1707.8815601166946,1240.6461653615484,652.9602891822752,22,45,12,58.55635741741158,13,0,0
3399.1122649463587,1907.9491295316986,1671.7446050711317,659.1769082890854,493.0975290467574,25,20,18,30.7132758990545,32,3,0
422.82294781538315,1565.0214682603603,1114.375597988602,1477.9391971481039,1304.0704709453948,12,40,10,37.9357998079038,7,0,0
4761.066877047265,1967.969898488473,1762.031495521872,748.1627322223623,741.8982577993299,28,30,18,20.754948061419768,30,0,0
3553.0448843185286,1932.7575183239053,1556.7992844707264,1475.8000261975133,560.2139852933412,25,30,16,48.87285349914431,13,0,0
323.07812283751764,1817.3714844285253,1631.3800603731574,647.1428067246143,107.05467103651213,22,20,8,47.71996353088719,4,0,0
9653.114263808275,1999.872339767801,1682.5031700386164,1425.7903898141303,1046.7641093291795,18,40,10,36.378516710921545,42,25,0
1025.719452091184,1482.7941451679276,602.4320971222877,1392.6833813596236,971.9317961904069,22,30,18,34.99627994261036,5,0,0
5169.863497149919,1852.1772463143534,1113.2181567018306,1014.2081356369926,501.5335581363963,28,45,16,28.014938889954678,19,3,0
1818.7466668649054,1528.1662124044094,293.3508782582377,1209.9957952317443,324.78011762047595,22,45,12,32.19530828888614,5,5,0
338.592760810713,1267.022378968419,981.7333303048265,955.5075004635219,292.6945945761189,25,40,16,36.88860554634252,2,0,0
72.96383116378117,1773.0342571200895,600.0819274861595,1139.225739763588,669.5778364109302,18,40,16,47.751100731497274,1,0,0
5095.518400919809,1996.1675676549319,1337.4564941576436,1243.08588316653,1125.4431927339747,20,40,14,49.27522341581732,31,3,0
1125.771941630518,1764.3603262167649,1715.662578702397,1372.77779900648,725.2058152543862,10,20,12,26.63993705007504,26,0,0
6588.713570862062,1638.330698906638,1079.3363010237165,1267.1224791473583,362.98736594908326,25,25,8,23.044018229305525,21,7,0
269.1073895496561,1483.4914439507143,583.499541321359,450.45076038045295,385.18992407990555,28,20,16,47.55888583249595,3,0,0
5375.432869573147,1582.1095883365383,1229.344484189799,839.1285285660535,361.2683053376817,28,40,18,29.27158002406308,21,9,0
4512.173288921798,1356.8108768840752,1073.0902420381085,1400.5644856850215,1160.2781011133516,32,40,14,35.16341581638652,11,0,0
2907.960979127062,1757.6622547752766,595.9262499739876,1462.5871720551609,1219.6312006219125,18,16,8,59.96572355686964,13,7,0
2616.812040207448,1277.3465837939025,890.5392815542205,1387.974518813657,871.1046262324289,16,25,12,53.96493410622292,22,2,0
2907.628530910707,1163.142667626407,762.7652916286224,1327.6741598952713,175.15393744989214,16,40,8,49.85395110046664,18,10,0
1117.3771894289976,1830.9596836198268,870.9065683754848,1374.7362619406274,1080.029921362377,32,35,16,47.02854321565382,3,0,0
1247.2958080451917,1797.8608501537976,1046.2087906166653,1070.1053066184686,397.19297695214664,8,20,20,37.10923277507521,35,23,0
2110.7366011496215,1379.174735042255,852.5582774621582,1456.4286567422334,1072.7217161049498,10,50,8,31.615158051844865,26,19,0
357.41448506957266,869.6763367273969,853.9991660350473,486.88665976114856,312.17217164123105,32,40,18,49.33463388279686,3,0,0
8275.924953076994,1676.645633770583,1605.7332005028115,1085.5690104775676,427.8811979379203,20,20,14,23.01846829774412,39,34,0
388.13249109930456,1976.2809815617557,993.8832549272687,1064.3382937401163,675.3508422023416,14,20,10,42.872863817899145,6,0,0
4073.88453407326,1596.839214850895,860.5271922854275,1303.6636554562415,245.84454390972098,16,50,18,46.185544050437194,21,18,0
1449.7655469989325,1805.2699008400775,1076.328199287478,1065.1448033801094,895.7474405060582,20,20,14,34.24337250743489,11,0,0
9069.441180595706,1767.2749285467742,1737.857067803926,1488.0974413669564,1369.6824321185654,28,25,8,44.84458565955581,26,0,0
