MRd,MEd,MEqp,beff,bw,h,hf,fi,fck,n1,n2,ro1,ro2,wk,Mcr,cost
666.7980883235997,8767.855273375337,1234.936564478999,2199.671399862551,132.3434257742076,323.87993675532323,285.49743334906395,32,45,9,15,0.01143335291432915,0.019055588190548582,0.5190355340067535,208.35977894927004,1130.6937972738115
2880.4521065993436,7971.1797474419,1653.4479076860325,2772.930046448288,1089.1458832398998,806.3684549735244,477.7712721843649,12,35,82,40,0.005511315213090314,0.0026884464454099096,0.16857240575833454,1217.2031884215298,1379.4754148725337
11034.616877954008,6570.466917226876,1004.1622038484314,1573.2164827134377,991.8034727979126,1581.0337459113114,465.71854238169925,16,25,85,65,0.009293997849452399,0.0071071748260518345,0.019489262264949677,3803.5241579641884,1914.768050173523
4426.689207335956,1521.8417408277821,1356.3322760970332,1820.7492652978478,563.545719738228,1996.3738569668712,453.3486424440346,10,16,68,197,0.003150860887265162,0.009128229335165248,0.07085337776619421,3052.0883235157276,1324.3714509611468
7209.533671555924,870.6448468994687,1860.7950932690667,1061.236625179506,541.8479549054516,1177.1819260391221,202.6142838971552,20,50,49,48,0.020715957601917023,0.020293182956979943,0.05319863777333637,3120.0068875449383,1666.9014522761363
19423.468151480058,9591.858053498525,522.0383719051786,278.11532746687635,958.2509545456248,1715.2710585066504,376.8579724433313,14,50,179,175,0.01986160423892957,0.019417769507333375,0.0051129834968467415,7664.979510416175,3018.869107884421
9387.761997316476,744.2292392151329,418.5142724351842,1488.784564195382,1003.7896348226973,870.2625395056255,363.0786541342539,32,20,37,21,0.02834955836232002,0.01609028988131677,0.009197416410409156,1986.9125679915692,2193.583434289703
2403.2498988499487,2554.5974881788447,1349.5044146840733,1988.6120794611431,1072.102133470251,1942.0524885057978,486.80031644514304,10,35,38,57,0.0011804725042789542,0.0017707087564184315,0.15740816956043716,4037.788694350822,1555.107993524636
5565.252789797053,3537.7238324567306,699.963269498199,1065.8420008374433,1130.2466119766684,735.266383540176,493.9003940468886,16,35,100,66,0.025157179035813295,0.016603738163636774,0.026037752628357957,1364.3284777628012,1701.2863717560415
6199.715305305581,3157.162154083815,509.68835824621533,1778.146028522869,140.81006307785083,1425.404523161765,186.13504039303533,25,40,22,28,0.021364427955677338,0.02719109012540752,0.016199985177068565,2797.88050952148,1233.9891202959486
2569.584927788943,7779.967831689358,1638.0135770399534,508.06274418935806,524.4842629524119,877.1048060316232,209.88402053689467,8,45,149,99,0.016403564780741633,0.01089901284089545,0.16182315574345607,969.6272728834915,758.8697943687046
28.80182376307178,2410.097878369604,131.23665121885242,2080.0126869956466,130.5627480940367,111.53368533592706,70.3956867853675,8,20,56,80,0.01854387034780049,0.0264912433540007,0.5681794510454495,6.269547485689574,320.76178891419096
17409.454708473204,2526.993255363485,969.8572394803477,2712.878327630718,802.6878998342738,1312.2406989403553,309.8571703917561,28,50,54,81,0.020210610725031917,0.030315916087547877,0.01127367038102386,8214.490693335734,4298.8499972276995
2583.6875984840153,1053.691968331172,1862.5766013124248,1948.9052170373313,207.16799244364364,827.5194624762354,446.887554866457,20,16,26,33,0.008599887634878185,0.01091524199811462,0.21370111410123166,704.5721168566427,1011.5264195025894
9321.527914926752,9933.396901487433,841.2029081245746,1559.6593987550873,491.974169232174,1024.2740770967418,372.6463104837891,28,45,38,35,0.025946952999511257,0.02389850934165511,0.01823466935554534,3315.792321362231,2289.6226188574747
247.84749338132616,5771.715102825212,1550.3055238460054,2553.5435106475347,927.7336718038162,193.6870325948799,161.2075309747276,10,45,70,147,0.012444548528524597,0.02613355190990166,1.7541958654471643,87.32629735806695,928.0478147993576
4126.71817317958,6706.561715220106,1566.902642689475,2950.8889801814507,374.2434522843378,1056.7913413247863,249.48797397271144,10,16,125,165,0.009454979625599536,0.012480573105791388,0.096869329073413,1543.311871390238,1204.3424258469638
5868.5703234054945,9400.702630823884,158.4295783077093,1923.971121725421,831.220364117304,612.2178393782978,476.4349868769316,14,40,181,35,0.027064053884067064,0.005233380585316835,0.005140203669575485,1176.4907032478154,1861.3434638712556
6482.8668582430555,9869.227578257887,1734.1785968498593,1983.859729585949,983.217131998417,1680.4168029188872,58.44644054126614,12,16,83,144,0.005487278072776353,0.009520096897346923,0.05901027752437831,2623.614448593969,1519.5949067565678
